document_No,dominant_Topic,topic_Perc_Contrib,keywords,text,id_news,country,media_outlet,url,title,date,San_Pablo,San_Juan_de_la_Costa,Río_Negro,Quinchao,Quemchi,Quellón,Queilén,Puyehue,Purranque,Puqueldón,Puerto_Varas,Puerto_Octay,Puerto_Montt,Palena,Osorno,Maullín,Los_Muermos,Llanquihue,Hualaihué,Futaleufú,Frutillar,Fresia,Dalcahue,Curaco_de_Vélez,Cochamó,Chonchi,Chaitén,Castro,Calbuco,Ancud
0,4,0.9553,"personas, años, año, comuna, parte, proceso, enero, comunidad, actividades, través","La Fiscalía de Los Lagos dirige una investigación por el delito de homicidio calificado contra un imputado de 31 años que la madrugada de este miércoles fue detenido por causar la muerte a un hombre en la comuna de Máfil. La Fiscal Jefa de Los Lagos, Claudia Baeza, explicó que la muerte ocurrió en un sector de la línea férrea de Máfil, afirmando que, “por razones que se desconocen, el imputado apuñaló de forma reiterada a la víctima, tras lo cual éste fallece en el lugar a consecuencia de estas lesiones”. La Fiscal Baeza agregó que el imputado fue detenido por Carabineros luego de presentarse “voluntariamente en el consultorio de Máfil, manifestando que había matado a una persona”. La Fiscalía dispuso que la Brigada de Homicidios de la PDI realice diligencias para establecer la dinámica de los hechos e instruyó al Servicio Médico Legal que realice la autopsia para determinar la causa de la muerte. El imputado había sido condenado con anterioridad por un delito de homicidio que cometió en febrero de 2014 en la comuna de Valdivia contra un hombre de 54 años en situación de calle a quien asfixió con un cinturón, y se encontraba en libertad luego de haber cumplido la condena por ese hecho.",21907946.0,chile,radiosago,https://www.radiosago.cl/investigan-muerte-de-hombre-apunalado-en-mafil-presunto-autor-ya-habia-asesinado-a-otra-persona/,Investigan muerte de hombre apuñalado en Máfil: Presunto autor ya había asesinado a otra persona,2022-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,0.9614,"personas, años, año, comuna, parte, proceso, enero, comunidad, actividades, través","Frente al alza de contagios de Covid-19 en la comuna y el retroceso de ésta a la fase 3 de Preparación desde este miércoles 26, la casa edilicia toma la decisión de suspender todas las actividades presenciales y masivas del Verano 2022 hasta el 31 enero. Al respecto Raúl Navarrete Alcalde (s) de la Comuna de Puyehue, se refirió “en virtud de este aumento explosivo de casos que registra la comuna 33 casos al día de hoy (lunes 24 enero) y considerando el retroceso de la comuna en el plan paso a paso a “Preparación”, y teniendo en consideración una serie de actividades masivas que se llevarían a cabo este fin de semana el municipio ha decidido suspender todas las actividades que concentren público”. Entre los cambios que anunció el municipio están la suspensión de los shows musicales de la Fiesta Entrelaguina, Verano en tu Barrio, Fiestas Costumbristas, como también las actividades deportivas, dado la gran cantidad de personas que congregan. Destacar además que todas actividades se reagendaran para próximas fechas, siempre y cuando las condiciones sanitarias así lo ameriten. De esta forma, se suma a Puerto Octay, Río Negro y San Juan de la Costa, como las comunas que han decidido no realizar eventos masivos.",21908053.0,chile,radiosago,https://www.radiosago.cl/ante-retroceso-a-fase-3-municipalidad-de-puyehue-suspende-eventos-masivos-hasta-nuevo-aviso/,Ante retroceso a Fase 3: Municipalidad de Puyehue suspende eventos masivos hasta nuevo aviso,2022-01-24,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,0.5943,"personas, años, año, comuna, parte, proceso, enero, comunidad, actividades, través","La jefa comunal de la comuna lacustre, María Jimena Núñez, confirmó a través de su cuenta personal de Facebook que dio positivo a covid-19 en las últimas horas.  Núñez especificó que se encuentra en casa realizando su aislamiento obligatorio y que no ha tenido síntomas graves, atribuyéndolo a contar con su esquema completo de vacunación y la dosis de refuerzo. Consultada por Radio Sago sobre contactos estrechos dentro de su equipo, la jefa comunal se limitó a comunicar que se están cumpliendo todas las normas sanitarias que establece la autoridad.",21908070.0,chile,radiosago,https://www.radiosago.cl/alcaldesa-de-puyehue-dio-positivo-por-covid-19/,Alcaldesa de Puyehue dio positivo por covid-19,2022-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,0.8474,"personas, años, año, comuna, parte, proceso, enero, comunidad, actividades, través","La jefa de la División de Atención Primaria del Ministerio de Salud, Dra. Adriana Tapia, visitó el Consultorio General Rural de Tegualda, en la comuna de Fresia, el que entrará en funcionamiento durante el primer semestre de este año. Se trata de una construcción de 1.099 metros cuadrados, que beneficiará a unas 5.000 personas, y con una inversión del Ministerio de Salud de $ 2.284 millones. El director (s) del Servicio de Salud Del Reloncaví, César Sierpe, dijo que “para nosotros fue prioridad terminar este consultorio con un estándar de gran ciudad.” Por su parte, el alcalde de Fresia, José Miguel Cárdenas, destacó que esta es una obra que va a dignificar a nuestra gente del sector rural. “Tenemos la esperanza de contar, en forma paulatina, con el funcionamiento para la comunidad, mayoritariamente campesina”.",21908071.0,chile,radiosago,https://www.radiosago.cl/el-primer-semestre-de-este-ano-entrara-en-funcionamiento-el-consultorio-de-tegualda-en-fresia/,El primer semestre de este año entrará en funcionamiento el Consultorio de Tegualda en Fresia,2022-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,0,0.523,"emprendimiento, naturaleza, conservación, canal, diputado, obra, minutos, tramo, agrupación, energía","Como una necesidad por plantear la urgencia que tienen los temas ambientales en el desarrollo regional fue lanzada la Seremi de Medio Ambiente autoconvocada, una agrupación de organizaciones de la sociedad civil preocupadas por temáticas ambientales en la región de Los Lagos que pretenden fiscalizar los procesos y cómo lo aborda la institucionalidad. Una de las impulsoras y parte de esta nueva agrupación es el colectivo Cuenca Sur, quienes velan por la protección y conservación de la cuenca del Río Bueno y las subcuencas en la provincia de Osorno, y quienes han estado involucrados en el tema humedales urbanos y otros que atañen a la zona. Una de sus fundadoras, Karla Linco, en conversación con Radio Sago, explicó el sentido de esta organización, además de confirmar que fueron contactados por un partido del gobierno entrante para plantear sus inquietudes. Y son tres las prioridades a nivel regional, señaló la ambientalista. Dentro del diagnóstico realizado por las organizaciones que crearon esta agrupación, está el deficiente actuar del actual seremi de la cartera en la región, Klaus Kosiel, según afirmó Karla Linco.  La activista enfatizó en la necesidad de que exista un trabajo interministerial enfocado en el desarrollo sustentable del país y de la región, considerando que los temas medioambientales tienen implicancias de salud, de obras públicas, de energía, entre otros.",21908072.0,chile,radiosago,https://www.radiosago.cl/organizaciones-de-la-region-de-los-lagos-crean-seremi-de-medio-ambiente-alternativa-y-autoconvocada/,Organizaciones de la región de Los Lagos crean Seremi de Medio Ambiente alternativa y autoconvocada,2022-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,7,0.5803,"presidente, iniciativas, región, firmas, negocio, comisión, vivienda, votos, gobernador, votación","Un llamado de emergencia la madrugada de este domingo 23, movilizó a 5 compañías de bomberos de Frutillar por el incendio de una vivienda de un adulto mayor y el peligro de propagación a casas aledañas. Un intenso trabajo desarrollaron 1ra,  2da, 3ra, 4ta y 6ta Compañía de Bomberos que trabajaron en la extinción de las llamas del inmueble ubicado en calle Los Pinos N°352, donde el propietario tenía su negocio de tapicería, el que se vio totalmente afectado por el fuego. Según informó el Comandante de Bomberos Luis Tenorio informó que “estuvimos trabajando hasta muy tarde, la casa era bastante grande, pero creo que fue daño en  60 ó 70 por ciento de la vivienda,  trabajó todo el cuerpo de bomberos de Frutillar, llegó Carabineros, y se solicitó una ambulancia porque el propietario, dueño de la vivienda, se sentía agitado por lo que estaba ocurriendo y la persona tenía un marcapaso”. El Departamento de Estudios Técnicos del Cuerpo de Bomberos de Frutillar está a cargo de la investigación del origen de este incendio.",21908073.0,chile,radiosago,https://www.radiosago.cl/incendio-destruyo-vivienda-de-adulto-mayor-en-frutillar/,Incendio destruyó vivienda de adulto mayor en Frutillar,2022-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,6,0.851,"casos, virus, ingresos, región, drogas, armas, contagio, curso, personas, misión","Así lo confirmó la autoridad sanitaria detallando que 63 de los contagios se reportaron en Puerto Montt, 47 en Quellón, 34 en Osorno, 32 en Castro,  21 en Puerto Varas, 16 en Ancud, 13 en Los Muermos, 9 en Frutillar, 6 en Maullín, 5 en Chonchi, Dalcahue y Puyehue, 4 en Fresia, Quemchi y Río Negro, 3 en Calbuco, Quinchao y San Pablo, 2 en Llanquihue y San Juan de la Costa, 1 en Curaco de Vélez, Puerto Octay, Chaitén, Futaleufú y Palena, además de 138 casos sin notificar y 8 confirmados en la región, pero con residencia fuera de esta. Al día de hoy son 1.323 los casos activos, 515 en la provincia de Llanquihue, 351 en la de Chiloé, 385 en la de Osorno, 28 en la de Palena y 44 casos confirmados en la región de Los Lagos, pero con residencia en otras regiones. Durante esta jornada se registró el fallecimiento de tres personas con PCR positivo; una con residencia en Puerto Montt, otra en Puerto Varas y una última en Chonchi, elevando la cifra de víctimas fatales por causas asociadas al virus a 1.565 a nivel regional desde el inicio de la pandemia. 87 personas permanecen hospitalizadas por COVID 19 en los distintos recintos asistenciales de la región, 29 de ellas en la UCI, de las cuales hay 22 que están conectadas a ventilación mecánica. Hay 9 camas UCI y 47 ventiladores mecánicos disponibles en la red integrada de salud regional.",21908074.0,chile,radiosago,https://www.radiosago.cl/432-contagios-y-3-fallecidos-dejo-el-covid-19-este-lunes-en-la-region-de-los-lagos/,432 contagios y 3 fallecidos dejó el covid-19 este lunes en la región de Los Lagos,2022-01-24,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1
7,4,0.5131,"personas, años, año, comuna, parte, proceso, enero, comunidad, actividades, través","La jornada del sábado se realizó la audiencia de control de detención y formalización de la persona detenida como el presunto autor material del homicidio de un joven identificado como Benjamín Alexis Soto Guzmán de 18 años, ocurrido la discoteca “El Ritual” del sector El Yale, en la comuna de Calbuco. Según  informó el subprefecto de la brigada de homicidios de la PDI, Enrique Zamora,  “se desplegó por los detectives una búsqueda en la ciudad de Calbuco y los alrededores, logrando el día de ayer en horas de la tarde (viernes) ubicarlo en la vía pública y de acuerdo a las características que nosotros determinamos en ese momento, el sujeto se aprestaba a huir de la ciudad”. A siete días de ocurridos los hechos, el subprefecto Zamora,  relató a la prensa de cómo se logró la detención del ahora imputado por la muerte de Benjamín Soto, donde además resultaron otras tres personas heridas con arma blanca. “Esa madrugada, luego que la disco ya había cerrado, y donde los participantes se estaban retirando, dos grupos comenzaron a agredirse verbalmente. En estos grupos no estaba la víctima, y esta agresión fue escalando, para comenzar una dinámica de agresiones físicas”, comentó el jefe de la BH. Los hechos ocurrieron cerca del amanecer del domingo 16 de enero, cuando dos grupos de jóvenes en el sector del estacionamiento inició una pelea. Hay un vídeo donde se ve al joven fallecido, quien se saca la polera y desafía a una persona. Se escuchan gritos, donde algunos alientan la riña, pero también hay una joven que grita, con algunos improperios, a que desistan de las agresiones. Posteriormente se ve cuando el joven asesinado, lo toma un amigo y lo lleva a un auto, donde Benjamín Soto grita que lo hirieron. «La víctima decidió ayudar a uno de sus amigos, siendo lesionada de gravedad y falleciendo en el hospital”, explica el policía. En cuanto a la detención del sujeto, se indicó por parte del Jefe de la brigada  de homicidios, que “a raíz de la ayuda efectuada por la comunidad y a la evidencia que se encontró y de testimonios recogidos, se pudo determinar la participación de cada una de las personas y atribuirles su grado de correspondencia con los hechos y de esta manera lograr individualizar a un imputado el cual presentó la dinámica más agresiva en esta situación y que actuó con un elemento cortante, como una cuchilla, específicamente”. Zamora relató, sobre el imputado, de nombre Cristian Saavedra Sáez, “está acreditada su participación en al menos el homicidio consumado del joven de 18 años y también dos homicidios frustrados a otros jóvenes que se encontraban en el lugar”. El sujeto detenido y ahora imputado, tiene antecedentes policiales por los delitos de lesiones menos graves y robo en lugar habitado.  También se indicó que Cristián Saavedra, no es de Calbuco, pero era visitante habitual de esta ciudad, donde interactuaba con otras personas. El fiscal subrogante de Calbuco Julio Martinez informó al término de la audiencia que el imputado quedó en prisión preventiva por ser un riesgo para la seguridad de la sociedad y se fijó un plazo de investigación de 120 días. ",21908076.0,chile,radiosago,https://www.radiosago.cl/pdi-detuvo-al-presunto-homicida-de-la-discoteca-de-calbuco/,PDI detuvo al presunto homicida de la discoteca de Calbuco,2022-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,2,0.5074,"zona, desarrollo, turismo, productos, información, convenio, vez, evento, ambiente, número","Luego que durante la semana pasada se diera a conocer que la iniciativa en torno a que la provincia de Chiloé pueda convertirse en una región, pueda finalmente discutirse en la convención constitucional, diversas fueron las reacciones. Sin embargo, la que no pasó inadvertida fue la del Gobernador Regional Patricio Vallespín, quien se mostró abiertamente en contra. Al respecto el convencional Julio Alvarez, repudió públicamente en una actividad en torno a la iniciativa, la postura del Gobernador regional en torno a dicha materia.  Por su parte, el Consejero por Chiloé el DC Nelson Águila, señaló que la postura del Gobernador Vallespín es personal, o al menos de todos los gobernadores regionales, pero en este caso, precisó Águila, el tema no se ha conversado en el Consejo regional.  El consejero regional, Nelson Águila se desmarcó de la postura expresada por el Gobernador DC, Patricio Vallespín, en un documento enviado el 17 de enero a la mesa de la Convención Constitucional, sugiriendo la no creación de nuevas regiones. Finalmente, Águila remató diciendo que “Tenemos que pedirle permiso al Ministro para resolver un problema local, eso en la nueva constitución debe reflejarse, mayor poder a las regiones y mayores poderes a las comunas”. ",21908077.0,chile,radiosago,https://www.radiosago.cl/dirigentes-sociales-de-chiloe-molestos-con-el-gobernador-vallespin-por-su-postura-en-contra-de-chiloe-region/,Dirigentes sociales de Chiloé molestos con el Gobernador Vallespín por su postura en contra de “Chiloé Región”,2022-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,6,0.8543,"casos, virus, ingresos, región, drogas, armas, contagio, curso, personas, misión","Así lo confirmó la autoridad sanitaria detallando que 69 de los contagios se reportaron en Puerto Montt, 36 en Quellón, 29 en Castro, 25 en Osorno, 11 en Frutillar y Puerto Varas, 7 en Ancud, San Juan de la Costa y San Pablo, 6 en Calbuco y Puyehue, 5 en Maullín, 4 en Los Muermos y Chaitén, 3 en Quemchi y Puerto Octay, 2 en Chonchi y Hualaihué, 1 en Llanquihue, Curaco de Vélez, Puqueldón, Queilen, Purranque y Río Negro, además de 172 casos sin notificar y 6 confirmados en la región, pero con residencia fuera de esta. Al día de hoy son 1.152 los casos activos, 457 en la provincia de Llanquihue, 279 en la de Chiloé, 345 en la de Osorno, 27 en la de Palena y 44 casos confirmados en la región de Los Lagos, pero con residencia en otras regiones. Durante esta jornada no se registraron fallecimientos por causas asociadas a la enfermedad, manteniendo la cifra de víctimas fatales en 1.562 a nivel regional desde el inicio de la pandemia. 88 personas permanecen hospitalizadas por COVID 19 en los distintos recintos asistenciales de la región, 28 de ellas en la UCI, de las cuales hay 21 que están conectadas a ventilación mecánica. Hay 16 camas UCI y 46 ventiladores mecánicos disponibles en la red integrada de salud regional.",21908078.0,chile,radiosago,https://www.radiosago.cl/432-contagios-de-covid-19-se-reportaron-este-domingo-en-la-region-de-los-lagos/,432 contagios de covid-19 se reportaron este domingo en la región de Los Lagos,2022-01-23,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1
